id,token,postag,entity
D0001,laku,NOUN,
D0001,bunuh,VERB,
D0001,perkosa,NOUN,
D0001,aa,PROPN,
D0001,14,NUM,
D0001,orang,NOUN,
D0001,remaja,NOUN,
D0001,putri,NOUN,
D0001,kubur,NOUN,
D0001,cina,PROPN,
D0001,palembang,PROPN,
D0001,tangkap,VERB,
D0001,tetap,ADV,
D0001,sangka,NOUN,
D0001,empat,NUM,
D0001,sangka,NOUN,
D0001,rupa,NOUN,
D0001,anak,NOUN,
D0001,bawah,NOUN,
D0001,umur,NOUN,
D0001,sama,ADJ,
D0001,korban,NOUN,
D0001,hukum,NOUN,
D0001,universitas,NOUN,
D0001,taman,NOUN,
D0001,siswa,NOUN,
D0001,palembang,PROPN,
D0001,dr,PROPN,
D0001,azwar,PROPN,
D0001,agus,NOUN,
D0001,turut,ADV,
D0001,prihatin,NOUN,
D0001,jadi,VERB,
D0001,bunuh,VERB,
D0001,remaja,NOUN,
D0001,putri,NOUN,
D0001,laku,NOUN,
D0001,remaja,NOUN,
D0001,lakilaki,NOUN,
D0001,usia,NOUN,
D0001,baya,NOUN,
D0001,korban,NOUN,
D0001,jadi,VERB,
D0001,sangat,ADV,
D0001,prihatin,ADJ,
D0001,lihat,VERB,
D0001,aspek,NOUN,
D0001,hukum,NOUN,
D0001,jahat,ADJ,
D0001,bendung,NOUN,
D0001,iring,NOUN,
D0001,kembang,NOUN,
D0001,ilmu,NOUN,
D0001,tahu,VERB,
D0001,teknologi,NOUN,
D0001,peran,NOUN,
D0001,media,NOUN,
D0001,sosial,NOUN,
D0001,mana,PRON,
D0001,salah,ADJ,
D0001,satu,NUM,
D0001,sangka,NOUN,
D0001,akses,NOUN,
D0001,film,NOUN,
D0001,biru,ADJ,
D0001,porno,NOUN,
D0001,ujar,NOUN,
D0001,kamis,NOUN,
D0001,592024,NUM,
D0001,scroll,NOUN,
D0001,to,PROPN,
D0001,continue,PROPN,
D0001,with,PROPN,
D0001,content,PROPN,
D0001,turut,NOUN,
